SN,DN/IP-List,First-Date,Last-Date
579,91.215.158.221,2014/06/03,2014/06/03
580,118.163.14.217,2014/05/23,2014/05/23
581,207.204.30.175,2014/05/23,2014/05/23
582,50.63.137.26,2014/05/23,2014/05/23
583,60.43.173.185,2014/05/23,2014/05/23
584,119.154.186.196,2014/05/22,2014/05/22
585,119.154.226.96,2014/05/22,2014/05/22
586,210.209.86.176,2014/05/21,2014/05/21
587,198.209.212.82,2014/05/20,2014/05/20
588,69.46.65.145,2014/01/30,2014/05/20
589,207.57.253.104,2014/05/19,2014/05/19
590,203.84.242.135,2008/10/16,2014/05/16
591,211.72.122.76,2008/10/16,2014/05/16
592,173.11.121.115,2014/05/12,2014/05/12
593,23.228.235.86,2014/04/30,2014/05/08
594,46.183.218.145,2013/07/17,2014/04/30
595,46.183.220.212,2013/11/11,2014/04/30
596,87.236.215.79,2014/04/28,2014/04/30
597,63.246.201.54,2014/04/29,2014/04/29
598,146.48.103.2,2014/04/25,2014/04/25
599,1.234.53.27,2014/04/23,2014/04/23
600,213.21.158.141,2014/04/23,2014/04/23
601,37.0.127.107,2014/04/23,2014/04/23
602,37.59.9.98,2014/04/23,2014/04/23
603,85.214.220.78,2014/04/23,2014/04/23
604,94.23.24.58,2014/04/23,2014/04/23
605,113.10.247.170,2014/04/22,2014/04/22
606,199.180.102.68,2012/12/27,2014/04/22
607,60.248.121.63,2012/12/27,2014/04/22
608,185.7.35.42,2014/04/17,2014/04/17
609,23.228.192.230,2014/04/16,2014/04/16
610,202.82.202.228,2012/12/24,2014/04/10
611,122.10.62.137,2014/04/02,2014/04/09
612,217.199.161.78,2014/04/09,2014/04/09
613,82.132.24.221,2014/04/08,2014/04/08
614,200.2.126.35,2014/04/07,2014/04/07
615,203.115.192.25,2014/04/07,2014/04/07
616,78.142.63.63,2014/04/07,2014/04/07
617,198.100.113.27,2014/03/25,2014/04/01
618,37.0.123.127,2014/04/01,2014/04/01
619,82.129.222.3,2014/03/31,2014/03/31
620,182.73.195.212,2014/03/26,2014/03/27
621,50.17.238.135,2014/03/26,2014/03/27
622,60.249.217.13,2014/03/26,2014/03/27
623,62.212.129.252,2014/03/26,2014/03/26
624,37.0.123.150,2014/03/25,2014/03/25
625,89.22.99.14,2014/03/25,2014/03/25
626,46.165.197.206,2014/03/20,2014/03/20
627,184.22.44.209,2013/06/17,2014/03/19
628,184.22.46.203,2014/03/19,2014/03/19
629,223.27.37.195,2014/03/19,2014/03/19
630,60.251.121.97,2014/03/19,2014/03/19
631,115.126.112.15,2014/03/18,2014/03/18
632,115.126.112.12,2014/03/17,2014/03/17
633,61.19.27.147,2014/03/13,2014/03/13
634,217.23.12.214,2014/03/10,2014/03/10
635,178.86.17.32,2014/02/19,2014/03/06
636,185.16.212.72,2014/03/03,2014/03/03
637,123.142.27.245,2014/02/27,2014/02/27
638,211.22.70.163,2014/02/27,2014/02/27
639,213.95.189.89,2014/02/27,2014/02/27
640,70.183.52.221,2014/02/27,2014/02/27
641,70.183.54.131,2014/02/27,2014/02/27
642,203.114.109.50,2014/02/21,2014/02/25
643,211.115.207.7,2009/03/12,2014/02/25
644,46.19.143.227,2014/02/25,2014/02/25
645,58.137.109.16,2010/02/08,2014/02/25
646,70.167.87.3,2014/02/21,2014/02/25
647,87.236.215.25,2014/02/25,2014/02/25
648,70.184.255.216,2014/02/24,2014/02/24
649,192.3.88.223,2014/02/20,2014/02/20
650,210.209.81.173,2014/02/18,2014/02/18
651,207.210.103.242,2014/02/16,2014/02/16
652,211.234.117.242,2009/03/12,2014/02/13
653,60.248.34.155,2014/01/17,2014/02/12
654,216.38.8.161,2014/02/06,2014/02/06
655,217.23.3.113,2014/01/27,2014/02/05
656,198.58.93.56,2014/01/31,2014/01/31
657,31.31.88.42,2014/01/31,2014/01/31
658,50.56.212.45,2014/01/31,2014/01/31
659,62.75.143.211,2014/01/31,2014/01/31
660,91.109.6.217,2014/01/31,2014/01/31
661,87.236.215.6,2014/01/29,2014/01/29
662,5.56.133.46,2014/01/21,2014/01/21
663,176.9.245.16,2014/01/16,2014/01/16
664,69.46.65.136,2014/01/16,2014/01/16
665,5.9.212.49,2014/01/14,2014/01/14
666,185.6.80.139,2013/12/18,2014/01/10
667,194.67.119.44,2013/12/24,2014/01/03
668,211.234.117.136,2013/12/09,2014/01/03
669,184.107.176.162,2014/01/02,2014/01/02
670,81.168.26.245,2014/01/02,2014/01/02
671,203.49.40.130,2013/12/31,2013/12/31
672,87.236.215.22,2013/12/25,2013/12/25
673,98.69.152.42,2013/12/25,2013/12/25
674,5.135.213.204,2013/12/12,2013/12/24
675,77.79.92.75,2013/12/12,2013/12/24
676,120.63.224.75,2013/12/17,2013/12/17
677,166.78.7.193,2013/12/12,2013/12/12
678,176.227.204.58,2013/12/12,2013/12/12
679,178.79.186.35,2013/12/12,2013/12/12
680,195.2.252.103,2013/12/12,2013/12/12
681,216.18.22.214,2013/12/12,2013/12/12
682,46.183.217.146,2013/12/12,2013/12/12
683,49.50.241.103,2013/12/12,2013/12/12
684,94.102.59.206,2013/12/12,2013/12/12
685,114.32.206.10,2013/12/10,2013/12/10
686,199.127.102.246,2013/08/06,2013/12/10
687,49.236.188.197,2013/12/09,2013/12/10
688,8.2.120.24,2013/12/10,2013/12/10
689,123.201.118.20,2013/12/06,2013/12/06
690,123.215.234.91,2013/12/06,2013/12/06
691,208.92.165.202,2013/12/02,2013/12/02
692,31.193.133.101,2013/11/29,2013/11/29
693,36.3.77.164,2013/11/01,2013/11/26
694,210.2.175.67,2013/11/19,2013/11/21
695,59.124.243.100,2013/11/20,2013/11/20
696,70.28.97.19,2013/11/20,2013/11/20
697,118.175.7.74,2013/11/12,2013/11/12
698,185.29.8.21,2013/11/12,2013/11/12
699,50.63.129.173,2013/11/12,2013/11/12
700,198.20.73.69,2013/11/08,2013/11/08
701,54.225.203.120,2013/11/07,2013/11/07
702,178.32.173.85,2013/11/06,2013/11/06
703,192.83.186.241,2012/03/22,2013/11/05
704,202.150.208.94,2013/10/25,2013/11/01
705,12.34.56.78,2013/08/23,2013/10/24
706,185.24.233.194,2013/10/15,2013/10/15
707,80.82.78.180,2013/10/14,2013/10/14
708,175.45.4.158,2013/10/11,2013/10/11
709,200.6.101.237,2013/09/30,2013/10/11
710,202.41.190.150,2013/10/11,2013/10/11
711,202.60.128.250,2013/08/08,2013/10/11
712,211.180.81.24,2013/09/30,2013/10/11
713,69.5.144.232,2013/08/30,2013/10/11
714,46.183.217.68,2013/10/07,2013/10/07
715,210.38.137.80,2013/10/01,2013/10/01
716,210.56.21.142,2013/10/01,2013/10/01
717,195.137.188.89,2013/09/30,2013/09/30
718,81.17.30.56,2013/09/24,2013/09/24
719,112.199.93.230,2013/09/18,2013/09/18
720,200.239.164.111,2013/07/24,2013/09/16
721,210.24.187.230,2013/09/16,2013/09/16
722,211.108.18.63,2013/08/30,2013/09/12
723,114.143.185.171,2013/09/11,2013/09/11
724,101.1.27.128,2013/09/03,2013/09/10
725,113.10.221.196,2013/09/10,2013/09/10
726,202.185.111.115,2013/08/08,2013/09/10
727,94.126.43.148,2011/06/22,2013/09/10
728,173.161.81.235,2011/12/12,2013/09/05
729,203.125.222.225,2013/08/08,2013/09/05
730,219.90.127.80,2013/06/10,2013/09/05
731,195.137.188.52,2013/08/13,2013/09/04
732,195.137.188.59,2013/08/13,2013/09/04
733,162.211.84.6,2013/09/03,2013/09/03
734,64.160.83.77,2013/08/29,2013/09/03
735,185.24.234.211,2013/08/29,2013/08/29
736,69.73.144.207,2013/08/29,2013/08/29
737,218.103.28.153,2013/08/28,2013/08/28
738,58.243.3.122,2013/08/28,2013/08/28
739,59.120.169.51,2013/08/28,2013/08/28
740,202.142.153.154,2013/08/27,2013/08/27
741,216.194.165.222,2013/08/27,2013/08/27
742,80.149.239.139,2013/04/17,2013/08/27
743,103.31.241.110,2013/08/23,2013/08/23
744,211.125.36.60,2013/08/22,2013/08/22
745,210.59.207.222,2013/08/15,2013/08/21
746,185.24.233.134,2013/08/20,2013/08/20
747,185.24.233.75,2013/08/20,2013/08/20
748,74.172.232.227,2013/08/20,2013/08/20
749,212.7.194.184,2013/08/19,2013/08/19
750,66.147.238.20,2013/08/19,2013/08/19
751,120.35.121.14,2013/08/18,2013/08/18
752,192.154.110.252,2013/08/14,2013/08/14
753,66.7.244.254,2012/07/30,2013/08/14
754,211.22.80.146,2013/08/12,2013/08/12
755,61.222.137.66,2013/08/12,2013/08/12
756,202.153.189.141,2013/08/09,2013/08/09
757,1.170.112.103,2013/08/08,2013/08/08
758,89.221.244.203,2013/07/01,2013/08/08
759,222.77.70.238,2007/04/05,2013/08/07
760,59.188.239.19,2013/08/06,2013/08/06
761,112.109.210.231,2013/08/01,2013/08/01
762,143.89.145.156,2013/07/30,2013/07/30
763,201.155.77.34,2013/07/30,2013/07/30
764,46.29.255.99,2013/07/30,2013/07/30
765,92.48.127.137,2013/07/29,2013/07/29
766,183.90.184.191,2013/04/23,2013/07/28
767,123.51.208.153,2013/07/25,2013/07/25
768,2.117.128.70,2013/07/24,2013/07/24
769,60.249.107.249,2013/07/24,2013/07/24
770,61.67.151.166,2013/01/15,2013/07/24
771,185.24.233.74,2013/07/23,2013/07/23
772,198.15.127.170,2013/07/23,2013/07/23
773,88.33.217.27,2013/07/15,2013/07/23
774,195.208.184.61,2013/07/22,2013/07/22
775,196.25.232.205,2011/05/30,2013/07/22
776,173.249.152.23,2013/07/18,2013/07/18
777,1.170.113.109,2013/03/22,2013/07/17
778,64.113.166.157,2011/01/20,2013/07/16
779,64.218.118.50,2011/01/20,2013/07/16
780,173.193.204.104,2013/07/15,2013/07/15
781,192.198.89.236,2013/07/15,2013/07/15
782,61.67.151.188,2013/07/02,2013/07/15
783,118.163.217.37,2013/02/06,2013/07/10
784,118.163.60.73,2013/07/10,2013/07/10
785,140.105.135.71,2013/07/10,2013/07/10
786,219.80.0.107,2013/07/10,2013/07/10
787,220.130.102.10,2013/07/09,2013/07/09
788,220.133.239.10,2013/07/09,2013/07/09
789,174.36.209.148,2013/07/08,2013/07/08
790,199.19.187.2,2013/06/13,2013/07/05
791,41.75.203.184,2013/06/13,2013/07/05
792,61.221.251.212,2013/04/10,2013/07/05
793,130.185.158.245,2013/07/03,2013/07/03
794,184.173.12.141,2013/07/02,2013/07/02
795,46.29.255.240,2013/06/28,2013/06/28
796,185.24.233.116,2013/06/20,2013/06/27
797,1.170.42.142,2013/06/26,2013/06/26
798,212.118.6.160,2013/04/25,2013/06/25
799,68.179.189.143,2012/08/28,2013/06/25
800,1.170.15.175,2013/06/18,2013/06/18
801,209.200.240.86,2013/06/18,2013/06/18
802,203.198.224.60,2013/06/17,2013/06/17
803,61.40.46.51,2013/06/10,2013/06/16
804,222.77.70.232,2009/04/30,2013/06/15
805,41.72.138.234,2013/06/12,2013/06/13
806,178.162.241.76,2013/06/12,2013/06/12
807,61.128.122.147,2013/06/12,2013/06/12
808,85.17.207.1,2013/06/12,2013/06/12
809,198.245.63.197,2013/06/11,2013/06/11
810,103.30.41.39,2013/06/10,2013/06/10
811,61.197.203.86,2013/06/10,2013/06/10
812,122.166.20.246,2013/05/28,2013/06/07
813,199.168.184.198,2013/06/05,2013/06/05
814,116.122.158.195,2013/04/15,2013/06/04
815,64.251.14.38,2013/06/04,2013/06/04
816,203.125.45.69,2008/10/16,2013/05/31
817,60.248.124.141,2013/05/16,2013/05/30
818,103.20.192.248,2013/05/29,2013/05/29
819,95.211.168.234,2013/05/29,2013/05/29
820,139.223.23.30,2007/11/15,2013/05/28
821,211.20.244.108,2010/05/28,2013/05/28
822,60.244.115.85,2008/07/10,2013/05/28
823,120.117.3.63,2013/05/24,2013/05/24
824,120.63.209.31,2013/04/06,2013/05/24
825,122.184.148.125,2013/05/24,2013/05/24
826,202.51.180.58,2013/05/13,2013/05/24
827,203.106.221.174,2013/05/13,2013/05/24
828,203.121.170.205,2013/05/24,2013/05/24
829,203.38.63.65,2013/04/29,2013/05/24
830,203.90.69.34,2013/04/11,2013/05/24
831,211.20.144.62,2013/05/24,2013/05/24
832,213.144.231.172,2011/05/18,2013/05/24
833,220.130.131.229,2013/05/24,2013/05/24
834,64.47.191.10,2013/04/19,2013/05/24
835,82.201.189.188,2013/04/25,2013/05/24
836,96.46.0.37,2012/04/10,2013/05/24
837,178.216.50.73,2013/05/22,2013/05/22
838,5.45.182.65,2013/05/22,2013/05/22
839,1.170.47.99,2013/05/16,2013/05/21
840,203.113.253.104,2013/05/21,2013/05/21
841,5.45.182.79,2013/05/21,2013/05/21
842,61.42.1.24,2013/05/21,2013/05/21
843,118.128.75.244,2013/05/13,2013/05/20
844,210.66.74.105,2013/05/13,2013/05/20
845,202.153.187.14,2013/05/16,2013/05/16
846,173.252.220.169,2013/05/15,2013/05/15
847,69.221.169.31,2013/05/15,2013/05/15
848,194.140.140.24,2013/05/14,2013/05/14
849,46.149.18.14,2013/05/14,2013/05/14
850,59.6.2.16,2013/05/14,2013/05/14
851,61.219.194.93,2013/05/14,2013/05/14
852,95.211.211.92,2013/05/14,2013/05/14
853,175.43.189.147,2011/02/25,2013/05/13
854,80.82.78.91,2013/05/10,2013/05/13
855,1.170.10.206,2013/05/09,2013/05/09
856,37.0.122.146,2013/05/06,2013/05/06
857,1.170.12.159,2013/04/25,2013/04/25
858,190.81.149.106,2013/04/24,2013/04/24
859,210.209.126.150,2013/04/16,2013/04/16
860,210.212.202.50,2013/04/16,2013/04/16
861,58.27.16.72,2013/04/10,2013/04/15
862,74.254.86.75,2013/04/10,2013/04/15
863,1.170.117.10,2013/04/12,2013/04/12
864,140.119.27.81,2013/04/12,2013/04/12
865,211.20.129.191,2013/04/11,2013/04/11
866,118.97.36.242,2013/04/10,2013/04/10
867,121.139.38.121,2013/04/10,2013/04/10
868,220.130.160.193,2011/05/25,2013/04/10
869,220.132.203.88,2012/09/06,2013/04/10
870,220.133.245.145,2013/04/10,2013/04/10
871,203.114.123.68,2013/04/08,2013/04/08
872,203.126.253.197,2013/04/08,2013/04/08
873,64.34.70.32,2013/04/08,2013/04/08
874,94.242.238.242,2013/04/08,2013/04/08
875,211.22.126.83,2013/04/07,2013/04/07
876,120.63.190.132,2013/04/06,2013/04/06
877,80.82.66.120,2013/04/03,2013/04/03
878,65.19.141.203,2013/04/01,2013/04/01
879,112.121.182.150,2013/03/28,2013/03/28
880,202.130.112.231,2013/03/28,2013/03/28
881,112.213.96.236,2013/01/21,2013/03/25
882,203.123.141.232,2013/03/25,2013/03/25
883,211.234.117.77,2013/03/25,2013/03/25
884,123.110.139.123,2013/03/21,2013/03/21
885,210.242.152.91,2013/03/21,2013/03/21
886,220.135.137.200,2013/03/21,2013/03/21
887,103.30.5.240,2013/03/20,2013/03/20
888,108.171.207.231,2013/03/20,2013/03/20
889,216.131.115.70,2013/03/19,2013/03/19
890,220.163.84.181,2013/03/17,2013/03/17
891,59.56.202.74,2010/04/12,2013/03/15
892,103.30.5.193,2013/03/14,2013/03/14
893,114.39.55.178,2013/03/12,2013/03/12
894,114.40.29.13,2013/03/12,2013/03/12
895,208.90.179.29,2012/11/13,2013/03/12
896,192.154.102.168,2013/03/08,2013/03/08
897,220.246.28.90,2013/03/06,2013/03/06
898,50.28.90.36,2013/03/06,2013/03/06
899,77.110.221.108,2013/03/01,2013/03/01
900,152.26.21.206,2013/02/19,2013/02/26
901,218.87.243.14,2013/02/20,2013/02/20
902,109.72.43.94,2013/02/06,2013/02/06
903,211.72.32.176,2013/02/06,2013/02/06
904,59.120.114.189,2013/02/06,2013/02/06
905,59.120.64.38,2013/02/06,2013/02/06
906,61.58.155.59,2013/02/06,2013/02/06
907,120.126.50.64,2012/01/06,2013/01/28
908,61.221.55.121,2013/01/26,2013/01/26
909,74.122.192.108,2013/01/26,2013/01/26
910,91.98.133.77,2013/01/26,2013/01/26
911,80.23.42.142,2013/01/21,2013/01/21
912,100.42.217.73,2013/01/18,2013/01/18
913,61.147.122.39,2013/01/18,2013/01/18
914,98.126.75.154,2013/01/16,2013/01/16
915,210.65.54.182,2013/01/15,2013/01/15
916,211.234.117.160,2013/01/15,2013/01/15
917,61.178.77.169,2013/01/15,2013/01/15
918,72.243.190.162,2013/01/15,2013/01/15
919,27.254.41.7,2013/01/11,2013/01/11
920,91.121.1.54,2013/01/11,2013/01/11
921,211.75.189.40,2012/05/23,2013/01/10
922,184.82.100.185,2013/01/03,2013/01/03
923,210.17.180.164,2012/12/27,2012/12/27
924,184.22.45.156,2012/12/24,2012/12/24
925,24.47.173.246,2012/12/22,2012/12/22
926,58.64.139.17,2012/11/23,2012/12/22
927,59.124.186.210,2012/05/08,2012/12/18
928,59.126.197.144,2012/12/18,2012/12/18
929,206.123.48.250,2012/12/10,2012/12/13
930,92.54.232.142,2012/12/11,2012/12/11
931,89.166.50.40,2012/12/05,2012/12/05
932,220.246.71.40,2012/08/21,2012/12/03
933,109.169.82.27,2012/11/26,2012/12/02
934,211.53.164.152,2012/11/29,2012/11/29
935,212.12.25.213,2012/11/22,2012/11/27
936,123.49.61.59,2012/06/19,2012/11/26
937,180.235.150.72,2012/07/04,2012/11/26
938,203.217.147.52,2012/06/19,2012/11/26
939,41.168.5.140,2012/06/15,2012/11/26
940,121.254.176.56,2012/05/08,2012/11/24
941,168.144.38.105,2012/11/09,2012/11/22
942,188.40.72.85,2012/10/18,2012/11/22
943,200.52.193.128,2012/11/22,2012/11/22
944,211.234.117.146,2012/11/22,2012/11/22
945,69.3.160.2,2012/11/22,2012/11/22
946,203.68.179.75,2012/11/21,2012/11/21
947,58.137.40.195,2012/11/21,2012/11/21
948,211.22.72.193,2012/04/16,2012/11/20
949,68.69.136.166,2012/11/20,2012/11/20
950,37.142.42.221,2012/11/02,2012/11/17
951,208.40.30.186,2012/11/16,2012/11/16
952,59.90.221.6,2012/06/15,2012/11/16
953,207.226.138.151,2012/11/14,2012/11/14
954,72.0.148.242,2012/06/14,2012/11/09
955,74.62.78.174,2011/07/27,2012/11/09
956,58.64.172.177,2012/11/05,2012/11/05
957,200.169.13.84,2012/07/04,2012/11/03
958,210.56.23.100,2012/06/15,2012/11/03
959,216.38.12.158,2012/07/12,2012/11/03
960,114.27.132.233,2012/11/02,2012/11/02
961,123.110.131.86,2012/10/19,2012/11/02
962,188.40.0.138,2012/06/15,2012/10/30
963,207.182.144.115,2012/09/20,2012/10/30
964,211.191.168.98,2012/09/20,2012/10/30
965,219.255.134.110,2012/07/31,2012/10/30
966,46.249.57.97,2012/10/30,2012/10/30
967,58.68.2.214,2012/07/04,2012/10/30
968,83.238.208.55,2012/06/19,2012/10/30
969,74.91.121.185,2012/10/26,2012/10/26
970,174.140.167.107,2012/10/25,2012/10/25
971,31.47.39.6,2012/10/25,2012/10/25
972,58.64.165.88,2012/10/24,2012/10/24
973,220.225.195.84,2012/10/23,2012/10/23
974,61.58.90.11,2012/10/19,2012/10/19
975,210.17.235.236,2012/10/18,2012/10/18
976,220.133.73.13,2012/10/18,2012/10/18
977,95.142.167.193,2012/06/19,2012/10/16
978,140.124.86.197,2012/08/06,2012/10/11
979,112.161.96.228,2012/10/10,2012/10/10
980,178.77.76.102,2012/09/20,2012/10/10
981,192.220.87.172,2012/09/20,2012/10/10
982,211.22.64.70,2012/10/10,2012/10/10
983,213.135.42.98,2012/09/20,2012/10/10
984,72.18.203.140,2012/09/20,2012/10/10
985,87.120.41.155,2012/07/12,2012/10/10
986,91.121.144.158,2012/09/20,2012/10/10
987,91.194.122.8,2012/09/20,2012/10/10
988,186.42.174.230,2012/09/25,2012/10/02
989,212.1.77.180,2012/09/26,2012/09/26
990,210.242.50.146,2012/04/10,2012/09/25
991,77.105.45.139,2012/08/24,2012/09/25
992,96.46.0.13,2012/08/01,2012/09/24
993,96.46.0.35,2012/08/01,2012/09/24
994,113.10.241.38,2012/09/21,2012/09/21
995,200.27.173.77,2012/09/21,2012/09/21
996,202.157.174.57,2011/04/01,2012/09/21
997,211.22.64.71,2012/09/21,2012/09/21
998,61.219.151.7,2012/09/21,2012/09/21
999,61.222.103.6,2012/09/21,2012/09/21
1000,113.10.221.126,2012/06/22,2012/09/20
1001,113.10.169.22,2012/09/17,2012/09/17
1002,113.10.240.52,2012/09/17,2012/09/17
1003,140.119.170.135,2012/09/17,2012/09/17
1004,60.251.11.60,2012/09/07,2012/09/17
1005,61.57.16.52,2012/09/17,2012/09/17
1006,213.155.112.84,2012/09/15,2012/09/15
1007,213.155.112.85,2012/09/15,2012/09/15
1008,112.121.183.198,2012/08/29,2012/09/14
1009,119.46.148.202,2012/04/20,2012/09/14
1010,163.27.236.3,2012/08/22,2012/09/14
1011,163.27.241.24,2012/08/06,2012/09/14
1012,190.81.57.197,2012/07/31,2012/09/14
1013,202.65.121.5,2012/07/28,2012/09/14
1014,210.240.175.100,2012/06/19,2012/09/14
1015,216.146.123.250,2010/10/21,2012/09/14
1016,219.94.194.242,2012/07/04,2012/09/14
1017,220.227.147.141,2012/07/31,2012/09/14
1018,59.120.116.176,2012/08/06,2012/09/14
1019,59.124.218.188,2012/08/13,2012/09/14
1020,59.124.24.135,2012/08/13,2012/09/14
1021,60.250.78.137,2012/06/19,2012/09/14
1022,61.222.88.160,2012/08/22,2012/09/14
1023,61.84.68.239,2012/08/28,2012/09/14
1024,63.77.19.30,2012/09/05,2012/09/14
1025,64.94.164.18,2012/07/04,2012/09/14
1026,68.178.206.179,2012/07/11,2012/09/14
1027,72.167.253.106,2012/07/12,2012/09/14
1028,85.226.179.185,2012/07/04,2012/09/14
1029,87.204.199.100,2012/07/16,2012/09/14
1030,203.174.60.153,2012/09/12,2012/09/12
1031,62.0.103.174,2012/08/28,2012/09/11
1032,122.117.107.178,2012/09/10,2012/09/10
1033,174.139.60.236,2012/09/10,2012/09/10
1034,61.58.90.63,2012/09/10,2012/09/10
1035,170.224.194.104,2012/09/04,2012/09/04
1036,71.46.224.204,2012/09/04,2012/09/04
1037,212.174.121.150,2012/08/31,2012/08/31
1038,110.173.52.222,2012/08/30,2012/08/30
1039,108.177.223.218,2012/08/29,2012/08/29
1040,1.170.12.44,2012/08/28,2012/08/28
1041,61.19.249.207,2012/08/22,2012/08/28
1042,211.234.117.141,2012/08/23,2012/08/23
1043,59.145.141.102,2012/07/09,2012/08/23
1044,122.176.55.210,2012/07/24,2012/08/22
1045,202.153.172.101,2012/08/22,2012/08/22
1046,41.32.44.142,2012/08/22,2012/08/22
1047,212.181.64.152,2012/04/20,2012/08/21
1048,75.99.182.204,2012/08/21,2012/08/21
1049,203.198.142.209,2011/09/16,2012/08/09
1050,119.75.21.163,2012/06/04,2012/07/30
1051,213.176.143.42,2012/07/30,2012/07/30
1052,58.137.10.218,2012/04/18,2012/07/26
1053,199.26.11.15,2012/07/25,2012/07/25
1054,199.26.11.18,2012/07/25,2012/07/25
1055,220.117.17.11,2012/07/25,2012/07/25
1056,202.143.147.35,2012/06/19,2012/07/24
1057,203.172.252.26,2012/06/19,2012/07/24
1058,31.17.189.212,2012/07/04,2012/07/24
1059,83.143.134.23,2012/07/04,2012/07/24
1060,203.146.133.45,2012/05/04,2012/07/13
1061,213.50.91.196,2012/04/16,2012/07/13
1062,119.46.192.26,2012/07/10,2012/07/12
1063,184.106.189.124,2012/06/15,2012/07/12
1064,211.44.250.173,2012/06/15,2012/07/12
1065,85.214.204.32,2012/06/15,2012/07/12
1066,199.71.214.180,2012/07/11,2012/07/11
1067,203.172.140.202,2012/07/11,2012/07/11
1068,94.23.49.51,2012/07/11,2012/07/11
1069,210.238.203.164,2012/05/17,2012/07/10
1070,142.165.23.27,2011/12/22,2012/07/06
1071,173.252.229.147,2012/07/06,2012/07/06
1072,213.225.107.106,2012/07/06,2012/07/06
1073,61.218.145.179,2012/07/06,2012/07/06
1074,203.198.124.58,2012/07/05,2012/07/05
1075,203.198.132.83,2012/07/05,2012/07/05
1076,210.213.13.230,2012/07/05,2012/07/05
1077,210.96.202.162,2012/07/05,2012/07/05
1078,212.33.79.115,2012/07/05,2012/07/05
1079,212.33.79.18,2011/03/11,2012/07/05
1080,41.134.140.42,2012/07/05,2012/07/05
1081,71.246.244.139,2012/07/05,2012/07/05
1082,82.105.153.56,2012/07/05,2012/07/05
1083,110.234.150.163,2012/06/15,2012/07/03
1084,173.203.96.79,2012/06/19,2012/07/03
1085,190.81.107.70,2012/06/15,2012/07/03
1086,203.172.252.29,2012/06/19,2012/07/03
1087,89.111.176.87,2012/06/19,2012/07/03
1088,91.121.103.143,2012/06/15,2012/07/03
1089,97.74.75.172,2012/06/19,2012/07/03
1090,212.68.79.14,2012/06/26,2012/07/02
1091,74.126.177.90,2012/06/27,2012/06/27
1092,190.98.23.212,2012/06/21,2012/06/21
1093,66.79.170.94,2012/06/20,2012/06/20
1094,140.129.132.98,2012/06/19,2012/06/19
1095,60.251.151.108,2012/05/04,2012/06/19
1096,61.37.115.77,2012/06/19,2012/06/19
1097,125.19.103.198,2012/06/15,2012/06/18
1098,155.98.65.40,2012/06/15,2012/06/18
1099,164.15.21.2,2012/06/15,2012/06/18
1100,213.17.171.186,2012/06/15,2012/06/18
1101,216.24.197.66,2012/06/15,2012/06/18
1102,91.228.154.199,2012/06/15,2012/06/18
1103,125.62.212.65,2012/04/09,2012/06/15
1104,94.56.203.115,2012/06/15,2012/06/15
1105,79.4.68.178,2012/06/08,2012/06/08
1106,128.241.219.2,2012/05/31,2012/06/05
1107,203.98.168.29,2012/04/20,2012/06/05
1108,96.247.81.154,2012/05/31,2012/06/05
1109,212.33.79.62,2012/05/30,2012/05/30
1110,222.124.198.151,2012/05/22,2012/05/30
1111,61.220.44.97,2012/04/03,2012/05/30
1112,50.56.26.176,2012/05/28,2012/05/29
1113,74.179.56.228,2012/05/21,2012/05/29
1114,77.232.100.73,2012/05/28,2012/05/28
1115,125.230.106.221,2012/05/25,2012/05/25
1116,58.68.104.27,2012/05/23,2012/05/25
1117,115.111.207.68,2012/05/23,2012/05/23
1118,175.43.189.146,2012/05/23,2012/05/23
1119,199.26.11.92,2012/05/23,2012/05/23
1120,205.200.10.202,2012/05/04,2012/05/23
1121,206.253.41.47,2011/12/22,2012/05/23
1122,59.188.214.34,2012/05/09,2012/05/23
1123,64.34.60.218,2011/08/31,2012/05/23
1124,140.116.50.129,2012/05/22,2012/05/22
1125,74.169.106.70,2012/05/22,2012/05/22
1126,77.28.240.217,2012/05/15,2012/05/22
1127,81.85.207.50,2012/05/22,2012/05/22
1128,194.228.160.49,2012/05/11,2012/05/21
1129,74.218.110.38,2012/05/21,2012/05/21
1130,78.31.108.43,2012/05/21,2012/05/21
1131,96.229.98.180,2010/02/08,2012/05/18
1132,212.174.121.149,2012/05/17,2012/05/17
1133,216.36.23.100,2012/05/17,2012/05/17
1134,68.183.110.251,2012/04/27,2012/05/17
1135,70.90.9.138,2012/05/17,2012/05/17
1136,63.250.68.176,2012/05/11,2012/05/16
1137,202.158.45.162,2012/05/14,2012/05/14
1138,212.164.208.22,2012/05/14,2012/05/14
1139,59.124.70.34,2012/05/14,2012/05/14
1140,70.164.64.136,2012/05/14,2012/05/14
1141,199.26.11.17,2012/04/16,2012/05/11
1142,202.148.13.228,2012/04/16,2012/05/11
1143,210.60.107.248,2012/05/08,2012/05/11
1144,210.65.11.11,2012/05/11,2012/05/11
1145,221.186.133.114,2012/05/11,2012/05/11
1146,61.221.168.11,2012/05/10,2012/05/11
1147,70.147.22.5,2012/05/09,2012/05/11
1148,211.20.234.221,2012/05/10,2012/05/10
1149,220.128.232.145,2012/05/08,2012/05/10
1150,184.22.40.20,2012/05/09,2012/05/09
1151,216.139.109.156,2010/09/21,2012/05/09
1152,60.36.187.171,2012/05/09,2012/05/09
1153,203.72.201.77,2012/05/08,2012/05/08
